study_id,composition,dopant_family,Cu_stoichiometry,zT_350C,zT_max,zT_max_temp_C,zT_max_temp_K,seebeck_350C_uVK,seebeck_at_zTmax_uVK,conductivity_350C_1e4Sm,conductivity_at_zTmax_1e4Sm,thermal_conductivity_350C_WmK,thermal_conductivity_at_zTmax_WmK,carrier_concentration_cm3,synthesis,compaction,sintering_type,sintering_temp_K,sintering_temp_C,relative_density_pct,density_g_cm3,theoretical_density_g_cm3,density_reference,remarks,citation
Vaqueiro 2017,Cu excess 13,Cu-excess/deficiency,13.0,,0.23,300.0,573.0,,125.0,,2.0,,0.85,,silica tube. 773K (2 days),"723K 2-4 days + HP 723K, 30 min, 80MPa",HP,723.0,,96.0,4.92,5.125,,,"Vaqueiro, P., Guélou, G., Kaltzoglou, A., Smith, R. I., Barbier, T., Guilmeau, E., & Powell, A. v. (2017). The Influence of Mobile Copper Ions on the Glass-Like Thermal Conductivity of Copper-Rich Tetrahedrites. Chemistry of Materials, 29(9), 4080–4090. https://doi.org/10.1021/acs.chemmater.7b00891"
Yan 2018,Cu13 Sb4 S13,Cu-excess/deficiency,13.0,0.67,0.85,450.0,723.0,163.0,170.0,2.46,2.4,0.59,0.6,,quartz tube.  923 K (12h). 723 K (1 week),SPS 673 K (5min) 45 Mpa,SPS,673.0,,95.0,,,,,"Yan, Y., Wu, H., Wang, G., Lu, X., & Zhou, X. (2018). High thermoelectric performance balanced by electrical and thermal transport in tetrahedrites Cu12+xSb4S12Se. Energy Storage Materials, 13, 127–133. https://doi.org/10.1016/j.ensm.2018.01.006"
Yan 2018,Cu13 Sb4 S12 Se,Se,13.0,0.78,0.99,450.0,723.0,142.41,150.0,5.59,5.0,0.91,0.9,,quartz tube.  923 K (12h). 723 K (1 week),SPS 673 K (5min) 45 Mpa,SPS,673.0,,95.0,,,,,"Yan, Y., Wu, H., Wang, G., Lu, X., & Zhou, X. (2018). High thermoelectric performance balanced by electrical and thermal transport in tetrahedrites Cu12+xSb4S12Se. Energy Storage Materials, 13, 127–133. https://doi.org/10.1016/j.ensm.2018.01.006"
Vaqueiro 2017,Cu excess 14,Cu-excess/deficiency,14.0,,0.62,300.0,573.0,,200.0,,1.6,,0.58,,silica tube. 773K (2 days),"723K 2-4 days + HP 723K, 30 min, 80MPa",HP,723.0,,96.0,4.92,5.125,,,"Vaqueiro, P., Guélou, G., Kaltzoglou, A., Smith, R. I., Barbier, T., Guilmeau, E., & Powell, A. v. (2017). The Influence of Mobile Copper Ions on the Glass-Like Thermal Conductivity of Copper-Rich Tetrahedrites. Chemistry of Materials, 29(9), 4080–4090. https://doi.org/10.1021/acs.chemmater.7b00891"
Levinsky 2022,Cu11Ni,Ni,11.0,0.55,0.55,350.0,623.0,135.0,135.0,4.85,4.85,1.0,1.0,,Silica tubes. 923K 12h,CP + annealing 5 days 723K + SPS 80MPa 4min 723K,SPS,723.0,,95.0,,,,,"Levinský, P., Ventrapati, P. K., Dauscher, A., Hejtmánek, J., Candolfi, C., & Lenoir, P. B. (2022). Achieving High Thermoelectric Performance in Mixed Natural-Synthetic Tetrahedrites. ChemNanoMat, 8(11). https://doi.org/10.1002/cnma.202200364"
Battiston 2017,Cu11Ni,Ni,11.0,0.56,0.65,400.0,673.0,215.0,215.0,1.2,1.0,0.65,0.65,,Precursors BM,Open Die Pressing 743 K (5min),ODP,743.0,,93.0,,,,,Battiston. S.. Fanciulli. C.. Fiameni. S.. Famengo. A.. Fasolin. S.. & Fabrizio. M. (2017). One step synthesis and sintering of Ni and Zn substituted tetrahedrite as thermoelectric material. Journal of Alloys and Compounds. 702. 75–83. https://doi.org/10.1016/j.jallcom.2017.01.187
Suekuni 2013,Cu10.5 Ni 1.5,Ni,10.5,0.65,0.7,392.0,665.0,177.0,185.0,2.5,2.5,0.81,0.75,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h)  + HP 803K 1h 60MPa,HP,773.0,,96.0,,,,,Suekuni. K.. Tsuruta. K.. Kunii. M.. Nishiate. H.. Nishibori. E.. Maki. S.. Ohta. M.. Yamamoto. A.. & Koyano. M. (2013). High-performance thermoelectric mineral Cu12-xNi xSb4S13 tetrahedrite. Journal of Applied Physics. 113(4). https://doi.org/10.1063/1.4789389
Suekuni 2013,Cu10 Ni 2,Ni,10.0,0.58,0.62,392.0,,216.0,208.88,1.2,1.41,0.67,0.68,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h)  + HP 803K 1h 60MPa,HP,773.0,,96.0,,,,,Suekuni. K.. Tsuruta. K.. Kunii. M.. Nishiate. H.. Nishibori. E.. Maki. S.. Ohta. M.. Yamamoto. A.. & Koyano. M. (2013). High-performance thermoelectric mineral Cu12-xNi xSb4S13 tetrahedrite. Journal of Applied Physics. 113(4). https://doi.org/10.1063/1.4789390
Suekuni 2013,Cu11.5 Ni 0.5,Ni,11.5,0.54,0.57,392.0,,125.0,129.93,7.04,7.04,1.37,1.41,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h)  + HP 803K 1h 60MPa,HP,773.0,,96.0,,,,,Suekuni. K.. Tsuruta. K.. Kunii. M.. Nishiate. H.. Nishibori. E.. Maki. S.. Ohta. M.. Yamamoto. A.. & Koyano. M. (2013). High-performance thermoelectric mineral Cu12-xNi xSb4S13 tetrahedrite. Journal of Applied Physics. 113(4). https://doi.org/10.1063/1.4789391
Suekuni 2013,Cu11 Ni,Ni,11.0,0.61,0.67,392.0,,150.0,155.0,4.6,4.56,1.08,1.1,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h)  + HP 803K 1h 60MPa,HP,773.0,,96.0,,,,,Suekuni. K.. Tsuruta. K.. Kunii. M.. Nishiate. H.. Nishibori. E.. Maki. S.. Ohta. M.. Yamamoto. A.. & Koyano. M. (2013). High-performance thermoelectric mineral Cu12-xNi xSb4S13 tetrahedrite. Journal of Applied Physics. 113(4). https://doi.org/10.1063/1.4789392
