material_id,formula_pretty,nelements,nsites,crystal_system,density,formation_energy_per_atom,band_gap,energy_above_hull
mp-611817,Fe3O4,2,14,Cubic,4.085445893646752,-0.9396096378571427,0.0,0.7030325821428569
mp-611836,O2,1,2,Monoclinic,1.5367838254758417,0.009970109999999366,1.3142999999999998,0.009970109999999366
mp-612405,Fe3O4,2,14,Monoclinic,5.145893557482782,-1.467904426428571,0.3799000000000001,0.1747377935714285
mp-650112,Fe3O4,2,56,Orthorhombic,4.858082411378452,-1.5858391619642853,0.9248000000000003,0.056803058035713505
mp-685153,Fe2O3,2,160,Triclinic,4.680793651103033,-1.481733684625,0.9977,0.2253576683749996
mp-685404,Li10Fe21O32,3,63,Triclinic,4.863827639065984,-1.6794561578306886,0.0,0.11419901119047626
mp-694910,Fe35O36,2,71,Triclinic,5.59451286578972,-0.7140460522535211,0.21050000000000013,0.7833586849295777
mp-705414,Fe13O14,2,27,Trigonal,5.46970062358868,-1.4520758214814808,0.0,0.0712161522222221
mp-705416,Fe3O4,2,56,Orthorhombic,4.863682586352175,-1.4994083048214282,1.1298999999999997,0.14323391517857154
mp-705417,Fe11O12,2,23,Triclinic,5.377099398533975,-1.4817329317391306,1.3876,0.04882383956521785
mp-705424,Fe17O18,2,35,Triclinic,5.436285634638037,-1.4740563385714285,1.5382999999999996,0.0396876154285728
mp-705547,Fe2O3,2,40,Monoclinic,4.663633346895783,-1.5472384212500003,0.8159000000000001,0.15985293174999882
mp-705551,Fe15O16,2,31,Triclinic,5.292031236237009,-1.4415632906451612,1.1413000000000002,0.07633867193548305
mp-705553,Fe23O25,2,48,Triclinic,5.415711461412236,-1.4789985053125,1.2771000000000003,0.04951504166666609
mp-705555,Fe10O11,2,42,Triclinic,5.3600072760582815,-1.490957769047618,1.4182999999999995,0.04426922928571564
mp-705558,Fe7O9,2,48,Triclinic,4.103433693304866,-1.404771015937501,1.1386999999999998,0.2177308499999997
mp-705588,Fe8O9,2,34,Triclinic,5.297060851548167,-1.4993131805882347,1.1978000000000004,0.04855090264705986
mp-705753,Fe38O39,2,77,Triclinic,5.574941207729374,-1.4252696731818189,1.3910999999999998,0.07089724454545454
mp-706252,LiFe5O8,3,112,Triclinic,4.6560373967135105,-1.6761909043452385,1.0631,0.09885627571428834
mp-706875,Fe21O23,2,44,Triclinic,5.389339176224495,-1.480480153068182,1.3487,0.05230559022727199
mp-714904,FeO2,2,12,Tetragonal,3.9627887833781434,-1.1429497000000002,0.0,0.2796264275000002
mp-715262,FeO,2,4,Tetragonal,5.5773756129324115,-1.4722393325,0.0,0.00928005499999962
mp-715275,Fe3O4,2,28,Orthorhombic,5.308684658235349,-1.5312738914285708,0.6085000000000003,0.11136832857142842
mp-715276,Fe2O3,2,20,Orthorhombic,5.190255651373158,-1.5731450780000003,1.4248000000000003,0.13394627499999956
mp-715333,Fe7O8,2,30,Triclinic,5.19210701297782,-1.4938531443333327,1.0723000000000003,0.06285689833333308
mp-715438,Fe3O4,2,14,Orthorhombic,5.356414647421779,-1.5348637935714282,0.5663999999999998,0.10777842642857127
mp-715558,Fe3O4,2,28,Trigonal,4.912612856903342,-1.5666937464285706,0.0019000000000000128,0.07594847357142953
mp-715572,Fe2O3,2,40,Monoclinic,5.186320487293866,-1.6299138022500004,0.9184000000000001,0.07717755074999921
mp-715614,Fe3O4,2,14,Monoclinic,5.065691753123221,-1.1769204092857137,0.0,0.4657218107142862
mp-715811,Fe3O4,2,28,Monoclinic,4.914841252913108,-1.5663915249999991,0.0,0.07625069500000059
mp-716052,Fe3O4,2,28,Orthorhombic,4.919029176156045,-1.5698083578571425,0.0,0.0728338621428577
mp-716814,Fe2O3,2,30,Trigonal,4.273710501424484,-1.2040433576666658,0.0,0.5030479953333336
mp-723285,O2,1,8,Tetragonal,1.4795351001609118,0.0012722937499995979,0.0,0.0012722937499995979
mp-734188,O2,1,12,Tetragonal,1.5809190076430981,0.4347438849999996,1.2707000000000002,0.4347438849999996
mp-752471,Li7FeO6,3,14,Trigonal,2.675156329350401,-1.8757666488095235,0.3176,0.054300379285714406
mp-752476,Li3(FeO2)5,3,18,Triclinic,4.026399744429484,-1.692278066666666,0.4722999999999997,0.08099479419444755
mp-752521,LiFeO3,3,20,Monoclinic,3.599698690179661,-1.4174851056666669,0.3317,0.1473070441000015
mp-752527,Li(FeO2)3,3,20,Orthorhombic,4.128453318197519,-1.5204188198333326,0.0,0.11552293155000282
mp-752654,Li3(FeO3)2,3,11,Monoclinic,3.5760181033019593,-1.6665200063636367,0.0,0.06968949415584191
mp-752680,Li4FeO3,3,32,Monoclinic,2.595602389546304,-1.9070446238541665,2.4966999999999997,0.05234323593750467
mp-752790,LiFeO3,3,10,Monoclinic,3.397188269187219,-1.3924913446666678,0.1658,0.1723008051000008
mp-752883,Li2(FeO2)3,3,22,Orthorhombic,4.1522672410402,-1.7419203337878792,0.0,0.06256414286363743
