trace_id,batch_start,initial_pce,final_pce,pce_min,pce_max,degradation_rate_pct_per_khr,early_slope_pct_per_khr,pce_noise_std,t80_hours,t80_censored,reaches_t80_in_window,n_points,batch_id,batch_size
58,2020-03-17 21:00:00,10.9231,6.5676,6.5239,11.39,15.4457,81.8855,0.37065,10.844,False,True,900,2,25
59,2020-03-17 21:00:00,11.0447,7.2728,7.241,11.4172,16.0814,64.715,0.32719,24.142,False,True,900,2,25
60,2020-03-17 21:00:00,11.9163,8.4729,8.4614,12.0655,19.4474,44.1072,0.18073,67.652,False,True,900,2,25
61,2020-03-17 21:00:00,12.5092,8.8216,8.753,12.6172,20.6661,51.3083,0.23663,59.166,False,True,900,2,25
62,2020-03-17 21:00:00,11.7858,8.2986,8.2428,11.8966,19.6739,45.48,0.20471,61.049,False,True,900,2,25
63,2020-03-17 21:00:00,11.279,8.205,8.1965,11.3902,17.9263,35.3572,0.16993,80.483,False,True,900,2,25
64,2020-03-17 21:00:00,12.2257,10.8747,10.812,12.6061,12.8796,1.7799,0.06967,,True,False,900,2,25
65,2020-03-17 21:00:00,12.9606,11.0587,10.8952,13.117,15.137,8.5992,0.08456,,True,False,900,2,25
66,2020-03-17 21:00:00,8.9124,10.2587,8.5078,10.7575,0.9025,-54.9071,0.23705,,True,False,900,2,25
67,2020-03-17 21:00:00,10.8252,9.7721,9.7468,10.8307,5.878,13.826,0.0375,,True,False,900,2,25
68,2020-03-17 21:00:00,10.8279,8.9752,8.9607,10.8288,11.4361,17.066,0.03264,,True,False,900,2,25
69,2020-03-17 21:00:00,12.3031,7.9875,7.8806,12.3214,26.4626,67.9416,0.2881,54.585,False,True,900,2,25
70,2020-03-17 21:00:00,11.4536,8.5725,8.5669,11.6212,19.8451,16.6515,0.1093,96.563,False,True,900,2,25
71,2020-03-17 21:00:00,12.2129,8.2957,8.1474,12.2943,24.4948,62.1276,0.27341,61.166,False,True,900,2,25
72,2020-03-17 21:00:00,0.287,5.7451,0.2602,10.275,-33.2389,-4.4071,2.82407,,True,False,900,2,25
73,2020-03-17 21:00:00,5.4663,3.2201,3.2111,5.5099,14.338,26.0421,0.08562,54.347,False,True,900,2,25
74,2020-03-17 21:00:00,3.9778,3.3056,3.2614,4.4909,6.062,15.4971,0.06517,,True,False,900,2,25
75,2020-03-17 21:00:00,5.2705,3.2484,3.1633,5.3166,13.2464,21.1865,0.05685,65.937,False,True,900,2,25
76,2020-03-17 21:00:00,5.5514,3.4462,3.2936,5.5993,13.6643,23.4471,0.06945,65.105,False,True,900,2,25
77,2020-05-19 14:00:00,9.5773,6.9115,6.7428,11.3518,1.7372,32.8382,0.27453,0.506,False,True,900,3,14
78,2020-05-19 14:00:00,10.8673,10.1111,0.86,11.4086,-75.2533,100.7451,1.20839,0.559,False,True,900,3,14
79,2020-05-19 14:00:00,11.6234,10.6345,2.1015,12.2433,-56.161,276.0655,2.08617,2.477,False,True,900,3,14
