eid,Al_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Sc_frac,Si_frac,Sn_frac,Ta_frac,Ti_frac,V_frac,W_frac,Zr_frac,condition,ph1,ph2,ph3,grain_size_param_1,grain_size_param_2,flag_1,flag_2,flag_3,YM_GPa,YM_err,YS_MPa,YS_err,UTS_MPa,UTS_err,DAR_pct,DAR_err,test_mode,HV,HV_err,Mo_equivalent,Mo_equivalent_class,ref_doi,ref_key,comments
Ti-50Ta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2092,0.7908,0.0,0.0,0.0,ST-WQ,Ti-alpha-dp,Ti-beta,,710.0,70.0,1,0,0,88.0,,379.0,,530.0,,25.0,,tension,,,11.0,meta,10.1016/j.msea.2003.12.011,zhou2004,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. 
Ti-70Ta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3817,0.6183,0.0,0.0,0.0,ST-WQ,Ti-beta,,,340.0,70.0,1,0,0,67.0,,373.0,,600.0,,16.0,,tension,,,15.4,meta,10.1016/j.msea.2003.12.011,zhou2004,Elastic modulus from Fig. 3. Other mechanical properties from Fig. 5. Hardness not reported. Grain size inferred from text in Section 4. 
Ti-35Nb-4Sn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2236,0.0,0.0,0.0,0.02,0.0,0.7564,0.0,0.0,0.0,ST-WQ,Ti-beta,Ti-alpha-dp,,,120.0,0,0,1,55.0,,376.0,,480.0,,29.0,,tension,,,9.8,near,10.2320/matertrans.46.1070,matsumoto2005,Average grain size reported in section 3.2. Mechanical properties from Fig. 12a.
Ti-35Nb-8Sn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2302,0.0,0.0,0.0,0.0407,0.0,0.7291,0.0,0.0,0.0,ST-WQ,Ti-beta,,,,120.0,0,0,1,61.0,,444.0,,480.0,,19.0,,tension,,,9.8,near,10.2320/matertrans.46.1070,matsumoto2005,Average grain size estimated based on section 3.2. Mechanical properties from Fig. 12a.
Ti-29Nb-13Ta-4.6Zr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2014,0.0,0.0,0.0,0.0,0.0464,0.7197,0.0,0.0,0.0325,ST-WQ,Ti-beta,,,,23.0,0,0,0,55.0,,257.0,,535.0,,41.0,,tension,,,10.98,meta,10.1016/S0921-5093(97)00808-3,kuroda1998,Mechanical properties extracted from Figures 7 and 8.
Ti-16Nb-13Ta-4Mo,0.0,0.0,0.0,0.0,0.0,0.0,0.0247,0.1022,0.0,0.0,0.0,0.0,0.0426,0.8305,0.0,0.0,0.0,ST-WQ,Ti-beta,,,,30.0,0,0,0,50.0,,557.0,,641.0,,50.0,,tension,,,11.33,meta,10.1016/S0921-5093(97)00808-3,kuroda1998,Mechanical properties extracted from Figures 7 and 8. Elongation reported as 65% (replaced with 50%)
Ti-29Nb-13Ta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1956,0.0,0.0,0.0,0.0,0.045,0.7594,0.0,0.0,0.0,ST-WQ,Ti-beta,,,,27.0,0,0,0,66.0,,213.0,,572.0,,31.0,,tension,,,10.98,meta,10.1016/S0921-5093(97)00808-3,kuroda1998,Mechanical properties extracted from Figures 7 and 8. Grain size estimated based on other compositions. 
Ti-29Nb-13Ta-4Mo,0.0,0.0,0.0,0.0,0.0,0.0,0.026802680268026804,0.2009200920092009,0.0,0.0,0.0,0.0,0.0462046204620462,0.7260726072607261,0.0,0.0,0.0,ST-WQ,Ti-beta,,,,26.0,0,0,0,53.0,,599.0,,608.0,,17.0,,tension,,,14.98,meta,10.1016/S0921-5093(97)00808-3,kuroda1998,Mechanical properties extracted from Figures 7 and 8.
Ti-29Nb-13Ta-2Sn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1987198719871987,0.0,0.0,0.0,0.0107010701070107,0.0457045704570457,0.7448744874487448,0.0,0.0,0.0,ST-WQ,Ti-beta,,,,28.0,0,0,0,48.0,,432.0,,497.0,,25.0,,tension,,,10.98,meta,10.1016/S0921-5093(97)00808-3,kuroda1998,Mechanical properties extracted from Figures 7 and 8.
Ti-29Nb-13Ta-4.6Sn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2029,0.0,0.0,0.0,0.0252,0.0467,0.7252,0.0,0.0,0.0,ST-WQ,Ti-beta,,,,27.0,0,0,0,55.0,,367.0,,528.0,,21.0,,tension,,,10.98,meta,10.1016/S0921-5093(97)00808-3,kuroda1998,Mechanical properties extracted from Figures 7 and 8. Grain size estimated based on other compositions. 
