symbol,atomic_number,atomic_radius,atomic_volume,block,density,dipole_polarizability,electron_affinity,evaporation_heat,fusion_heat,group_id,lattice_constant,lattice_structure,name,period,series_id,specific_heat_capacity,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,proton_affinity,gas_basicity,heat_of_formation,c6,abundance_crust,abundance_sea,atomic_weight,is_monoisotopic,is_radioactive,atomic_radius_rahm,geochemical_class,goldschmidt_class,metallic_radius,metallic_radius_c12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,discovery_year,mendeleev_number,pettifor_number,glawe_number,molar_heat_capacity
Al,13,125,10,p,2.7,57.8,0.43283,284.1,10.75,13,4.05,FCC,Aluminum,3,7,0.897,237,184,121,126,1.61,,,330.9,528,82300,0.002,26.9815385,1,0,239,major,litophile,125,143,113,111,1825,82,80,78,24.2
Si,14,110,12.1,p,2.3296,37.3,1.3895211,383,50.6,14,5.43,DIA,Silicon,3,5,0.712,149,210,111,116,1.9,837,814.1,450,305,282000,2.2,28.085,,0,232,major,litophile,117,138,107,102,1824,88,85,85,19.99
P,15,100,17,p,1.823,25,0.746607,49.8,2.51,15,7.17,CUB,Phosphorus,3,1,0.769,,180,107,111,2.19,626.8,604.8,316.5,185,1050,0.06,30.973762,1,0,223,,litophile,110,128,102,94,1669,94,90,89,23.824
S,16,100,15.5,p,2.07,19.4,2.07710403,10.5,1.23,16,10.47,ORC,Sulfur,3,1,0.708,0.27,180,105,103,2.58,664.3,640.2,277.17,134,350,905,32.06,,0,214,semi-volatile,chalcophile,104,127,94,95,,100,94,96,22.7
Cl,17,100,18.7,p,0.002898,14.6,3.612725,20.41,6.41,17,6.24,ORC,Chlorine,3,6,0.479,0.009,175,102,99,3.16,513.6,490.1,121.302,94.6,145,19400,35.45,,0,206,semi-volatile,litophile,,91,95,93,1774,107,99,101,33.949
Ar,18,71,24.2,p,0.001633,11.083,-11.5,6.52,,18,5.26,FCC,Argon,3,2,0.52,0.0177,188,106,96,,369.2,346.3,,64.2,3.5,0.45,39.948,,0,197,volatile,atmophile,,,107,96,1894,114,3,3,20.786
K,19,220,45.3,s,0.89,289.7,0.50147,2.33,102.5,1,5.23,BCC,Potassium,4,3,0.757,79,275,203,196,0.82,,,89,3923,20900,399,39.0983,,0,234,alkali metal,litophile,203,235,193,,1807,3,10,10,29.6
Ca,20,180,29.9,s,1.54,160.8,0.02455,153.6,9.2,2,5.58,FCC,Calcium,4,4,0.647,,231,176,171,1,,,177.8,2163,41500,412,40.078,,0,270,major,litophile,174,197,147,133,1808,7,16,16,25.929
Sc,21,160,15,d,2.99,97,0.188,332.7,15.8,3,3.31,HEX,Scandium,4,8,0.568,15.8,215,170,148,1.36,914,892,377.8,1383,22,6.00E-07,44.955908,1,0,263,first series transition metal,litophile,144,162,116,114,1879,11,20,48,25.52
Ti,22,140,10.6,d,4.506,100,0.079,422.6,18.8,4,2.95,HEX,Titanium,4,8,0.523,21.9,211,160,136,1.54,876,853.7,473,1044,5650,0.001,47.867,,0,257,first series transition metal,litophile,132,147,117,108,1791,43,51,51,25.06
